ts,unit,code,description,detail,data
20250204 12:04:36,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.6 V. Output voltage: 211.1 V. Output current: -0.4 A. Cell max voltage: 3292 mV. Cell min voltage: 3283 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001827643a083f08fcffdc0cd30c1312
20250204 12:05:08,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.6 V. Output voltage: 211.5 V. Output current: -0.3 A. Cell max voltage: 3291 mV. Cell min voltage: 3290 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",00000000000000001826643a084308fdffdb0cda0c1212
20250204 12:15:06,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.4 V. Output voltage: 209.5 V. Output current: 0.0 A. Cell max voltage: 3289 mV. Cell min voltage: 3287 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",000000000000000018266438082f080000d90cd70c1212
20250204 12:15:12,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.4 V. Output voltage: 210.7 V. Output current: 0.0 A. Cell max voltage: 3290 mV. Cell min voltage: 3281 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018276438083b080000da0cd10c1312
20250204 13:02:53,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.6 V. Output voltage: 211.1 V. Output current: -0.4 A. Cell max voltage: 3293 mV. Cell min voltage: 3285 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001827643a083f08fcffdd0cd50c1312
20250204 13:03:09,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.6 V. Output voltage: 209.5 V. Output current: -0.3 A. Cell max voltage: 3292 mV. Cell min voltage: 3291 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",00000000000000001826643a082f08fdffdc0cdb0c1212
20250204 13:41:03,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 211.1 V. Output voltage: 211.1 V. Output current: 0.0 A. Cell max voltage: 3301 mV. Cell min voltage: 3298 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",00000000000000001827643f083f080000e50ce20c1212
20250204 13:41:49,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.1 V. Output voltage: 211.9 V. Output current: 0.0 A. Cell max voltage: 3302 mV. Cell min voltage: 3294 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828643f0847080000e60cde0c1312
20250204 13:58:33,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.4 V. Output voltage: 212.3 V. Output current: -0.5 A. Cell max voltage: 3305 mV. Cell min voltage: 3299 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018286442084b08fbffe90ce30c1312
20250204 13:58:34,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 211.4 V. Output voltage: 212.3 V. Output current: -0.5 A. Cell max voltage: 3305 mV. Cell min voltage: 3302 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",000000000000000018276442084b08fbffe90ce60c1212
20250204 14:06:05,BMS 1,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 210.9 V. Output voltage: 211.5 V. Output current: 0.0 A. Cell max voltage: 3298 mV. Cell min voltage: 3290 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",00000000000000001828643d0843080000e20cda0c1312
20250204 14:06:05,BMS 2,5,Stop charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.8 V. Output voltage: 209.9 V. Output current: 0.0 A. Cell max voltage: 3296 mV. Cell min voltage: 3294 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",00000000000000001827643c0833080000e00cde0c1212
20250204 15:44:43,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.9 V. Output voltage: 212.7 V. Output current: -0.4 A. Cell max voltage: 3313 mV. Cell min voltage: 3305 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",000000000000000018286447084f08fcfff10ce90c1312
20250204 15:45:02,BMS 2,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 211.8 V. Output voltage: 211.5 V. Output current: -0.5 A. Cell max voltage: 3313 mV. Cell min voltage: 3309 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",000000000000000018276446084308fbfff10ced0c1211
20250204 16:14:47,BMS 2,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 211.0 V. Output voltage: 211.1 V. Output current: 0.5 A. Cell max voltage: 3299 mV. Cell min voltage: 3297 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",00000000000000001828643e083f080500e30ce10c1212
20250204 16:14:48,BMS 1,6,Start discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 42 %. SOH: 100 %. Battery voltage: 211.1 V. Output voltage: 211.9 V. Output current: 0.6 A. Cell max voltage: 3301 mV. Cell min voltage: 3295 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",0000000000000000182a643f0847080600e50cdf0c1312
20250204 16:54:08,BMS 2,7,Stop discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 209.6 V. Output voltage: 208.7 V. Output current: 0.0 A. Cell max voltage: 3277 mV. Cell min voltage: 3276 mV. Cell max temp: 18 °C. Cell min temp: 18 °C.",0000000000000000182764300827080000cd0ccc0c1212
20250204 16:54:12,BMS 1,7,Stop discharging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 40 %. SOH: 100 %. Battery voltage: 209.6 V. Output voltage: 209.9 V. Output current: 0.0 A. Cell max voltage: 3283 mV. Cell min voltage: 3272 mV. Cell max temp: 19 °C. Cell min temp: 18 °C.",0000000000000000182864300833080000d30cc80c1312
20250205 10:41:29,BMS 2,3,Timing record,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 38 %. SOH: 100 %. Battery voltage: 210.4 V. Output voltage: 211.1 V. Output current: -0.4 A. Cell max voltage: 3289 mV. Cell min voltage: 3288 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",000000000000000018266438083f08fcffd90cd80c1211
20250205 10:41:35,BMS 1,4,Start charging,"Warnings: -. Errors: -. Status: Relay on, Air switch on. SOC: 39 %. SOH: 100 %. Battery voltage: 210.4 V. Output voltage: 211.1 V. Output current: -0.5 A. Cell max voltage: 3290 mV. Cell min voltage: 3282 mV. Cell max temp: 18 °C. Cell min temp: 17 °C.",000000000000000018276438083f08fbffda0cd20c1211
